country,1870,1880,1890,1900,1913,1925,1929,1933,1938,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2007,2010,2015
Brunei Darussalam,,,,,,,,,,0.176,0.207,0.229,0.249,0.258,0.308,0.333,0.333,0.336,0.348,0.360,0.388,0.373,0.401,0.404
Cambodia,0.029,0.029,0.024,0.027,0.033,0.033,0.045,0.049,0.060,0.108,0.132,0.159,0.164,0.137,0.072,0.103,0.126,0.137,0.216,0.213,0.221,0.203,0.239,0.256
China,0.040,0.041,0.041,0.041,0.056,0.049,0.067,0.074,0.076,0.068,0.084,0.077,0.108,0.117,0.125,0.165,0.179,0.185,0.212,0.229,0.245,0.252,0.268,0.250
Hong Kong,0.040,0.041,0.043,0.069,0.101,0.145,0.159,0.171,0.185,0.230,0.244,0.258,0.282,0.306,0.329,0.230,0.250,0.372,0.427,0.465,0.618,0.603,0.625,0.734
Georgia,,,,,,,,,,,,,,,,0.367,0.387,0.408,0.401,0.424,0.437,0.476,0.449,0.502
India,0.032,0.034,0.036,0.043,0.051,0.062,0.068,0.073,0.085,0.121,0.150,0.163,0.178,0.194,0.186,0.224,0.241,0.260,0.282,0.307,0.317,0.331,0.334,0.377
Indonesia,0.025,0.026,0.026,0.027,0.043,0.049,0.052,0.056,0.066,0.105,0.121,0.112,0.124,0.126,0.150,0.152,0.160,0.170,0.181,0.346,0.387,0.406,0.424,0.429
Iran,0.025,0.031,0.026,0.027,0.034,0.040,0.044,0.047,0.054,0.096,0.087,0.094,0.116,0.135,0.150,0.167,0.184,0.211,0.243,0.286,0.298,0.291,0.317,0.364
Iraq,0.032,0.030,0.031,0.032,0.040,0.044,0.059,0.059,0.070,0.092,0.111,0.107,0.115,0.128,0.151,0.163,0.182,0.190,0.186,0.207,0.247,0.291,0.314,0.304
Israel,,,,,,,,,,0.370,0.384,0.399,0.421,0.459,0.495,0.515,0.534,0.558,0.580,0.605,0.628,0.663,0.679,0.735
Japan,0.087,0.095,0.116,0.139,0.172,0.191,0.209,0.216,0.223,0.304,0.419,0.465,0.498,0.546,0.575,0.610,0.656,0.675,0.719,0.749,0.779,0.726,0.815,0.803
Jordan,0.029,0.026,0.026,0.026,0.050,0.060,0.078,0.079,0.103,0.130,0.160,0.174,0.187,0.196,0.206,0.229,0.272,0.296,0.314,0.297,0.353,0.349,0.371,0.397
Kazakhstan,,,,,,,,,,,,,,,,0.209,0.225,0.343,0.331,0.335,0.342,0.354,0.361,0.378
Republic of Korea,0.042,0.043,0.046,0.052,0.050,0.060,0.067,0.077,0.086,0.155,0.182,0.198,0.215,0.246,0.242,0.282,0.340,0.516,0.572,0.653,0.695,0.669,0.725,0.699
Kuwait,0.034,0.034,0.034,0.035,0.042,0.046,0.061,0.066,0.067,0.163,0.178,0.199,0.260,0.285,0.291,0.262,0.333,0.286,0.368,0.374,0.386,0.390,0.389,0.387
Kyrgyzstan,,,,,,,,,,,,,,,,0.197,0.211,0.312,0.309,0.310,0.322,0.334,0.348,0.438
Lao PDR,0.031,0.031,0.026,0.029,0.030,0.030,0.030,0.035,0.046,0.094,0.101,0.112,0.106,0.112,0.120,0.119,0.132,0.155,0.163,0.179,0.192,0.186,0.206,0.220
Lebanon,0.040,0.040,0.045,0.050,0.081,0.117,0.131,0.142,0.161,0.195,0.217,0.225,0.248,0.269,0.279,0.281,0.293,0.294,0.314,0.330,0.351,0.356,0.391,0.429
Malaysia,0.036,0.037,0.038,0.045,0.053,0.059,0.071,0.083,0.091,0.131,0.160,0.182,0.204,0.209,0.255,0.284,0.303,0.310,0.341,0.361,0.394,0.397,0.414,0.417
Mongolia,,,,,,,,,,0.078,0.098,0.112,0.128,0.140,0.167,0.180,0.194,0.267,0.354,0.359,0.384,0.393,0.418,0.436
Myanmar,0.026,0.026,0.039,0.050,0.067,0.083,0.088,0.091,0.094,0.106,0.144,0.153,0.084,0.089,0.103,0.128,0.138,0.123,0.123,0.130,0.139,0.126,0.166,0.236
Nepal,0.023,0.023,0.021,0.021,0.021,0.024,0.025,0.027,0.029,0.042,0.056,0.069,0.069,0.078,0.087,0.102,0.121,0.149,0.201,0.223,0.204,0.227,0.294,0.308
Oman,0.021,0.021,0.021,0.021,0.022,0.023,0.029,0.032,0.032,0.051,0.064,0.068,0.076,0.113,0.132,0.164,0.184,0.211,0.243,0.263,0.309,0.326,0.324,0.334
Pakistan,,,,,,,,,,0.107,0.113,0.101,0.126,0.121,0.151,0.133,0.163,0.221,0.233,0.202,0.274,0.270,0.295,0.288
Philippines,0.021,0.023,0.024,0.044,0.085,0.109,0.118,0.125,0.140,0.179,0.210,0.221,0.233,0.240,0.163,0.190,0.199,0.355,0.372,0.395,0.373,0.389,0.409,0.423
